Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 21.10      2.72     2.72                             std::list<unsigned long, std::allocator<unsigned long> >::size() const
 12.49      4.33     1.61                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::insert_unique(std::pair<unsigned long const, Player*> const&)
  3.18      4.74     0.41                             bool PropStream::GET_STRUCT<OTBM_TeleportDest>(OTBM_TeleportDest*&)
  3.03      5.13     0.39                             __gnu_cxx::hashtable<std::pair<unsigned short const, ItemType*>, unsigned short, __gnu_cxx::hash<unsigned short>, std::_Select1st<std::pair<unsigned short const, ItemType*> >, std::equal_to<unsigned short>, std::allocator<ItemType*> >::hashtable(unsigned int, __gnu_cxx::hash<unsigned short> const&, std::equal_to<unsigned short> const&, std::allocator<ItemType*> const&)
  2.64      5.47     0.34                             bool PropStream::GET_STRUCT<OTBM_Tile_coords>(OTBM_Tile_coords*&)
  2.56      5.80     0.33                             std::string::find(std::string const&, unsigned int) const
  2.40      6.11     0.31                             __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned long>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned long> >, std::equal_to<unsigned long>, std::allocator<unsigned long> >::resize(unsigned int)
  2.33      6.41     0.30                             Items::loadXMLInfos(std::string)
  2.25      6.70     0.29                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::_Rb_tree_impl<std::less<unsigned long>, false>::~_Rb_tree_impl()
  2.09      6.97     0.27                             Map::loadMap(std::string, std::string)
  1.63      7.18     0.21                             __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::~stdio_sync_filebuf()
  1.55      7.38     0.20                             std::moneypunct<char, true>::do_grouping() const
  1.55      7.58     0.20                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::_Rb_tree_impl<std::less<unsigned long>, false>::_Rb_tree_impl(std::allocator<std::_Rb_tree_node<std::pair<unsigned long const, Player*> > > const&, std::less<unsigned long> const&)
  1.40      7.76     0.18                             std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  1.32      7.93     0.17                             bool PropStream::GET_STRUCT<VERSIONINFO>(VERSIONINFO*&)
  1.32      8.10     0.17                             std::string::find_first_not_of(char, unsigned int) const
  1.24      8.26     0.16                             FileLoader::getChildNode(unsigned long, unsigned long&)
  1.24      8.42     0.16                             __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned long>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned long> >, std::equal_to<unsigned long>, std::allocator<unsigned long> >::find_or_insert(std::pair<unsigned long const, unsigned long> const&)
  1.16      8.57     0.15                             __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::seekoff(long long, std::_Ios_Seekdir, std::_Ios_Openmode)
  1.16      8.72     0.15                             std::string::at(unsigned int) const
  1.16      8.87     0.15                             std::vector<std::pair<unsigned long long, long>, std::allocator<std::pair<unsigned long long, long> > >::end() const
  1.09      9.01     0.14                             std::_Rb_tree_decrement(std::_Rb_tree_node_base*)
  0.93      9.13     0.12                             PropStream::GET_STRING(std::string&)
  0.93      9.25     0.12                             std::string::find_first_of(char const*, unsigned int, unsigned int) const
  0.93      9.37     0.12                             std::vector<std::pair<unsigned long long, long>, std::allocator<std::pair<unsigned long long, long> > >::size() const
  0.78      9.47     0.10                             bool PropStream::GET_STRUCT<OTBM_Tile_area_coords>(OTBM_Tile_area_coords*&)
  0.78      9.57     0.10                             std::string::find(char const*, unsigned int, unsigned int) const
  0.78      9.67     0.10                             std::time_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get_time(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, tm*) const
  0.70      9.76     0.09                             CreatureState::CreatureState()
  0.70      9.85     0.09                             Map::removeCreature(Creature*)
  0.70      9.94     0.09                             Item::CreateItem(unsigned short, unsigned short)
  0.70     10.03     0.09                             std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >::str() const
  0.70     10.12     0.09                             std::map<unsigned long, Monster*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Monster*> > >::operator[](unsigned long const&)
  0.70     10.21     0.09                             std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >, std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.62     10.29     0.08                             Range::Range(Position const&, Position const&)
  0.62     10.37     0.08                             IOMapOTBM::loadMap(Map*, std::string)
  0.62     10.45     0.08                             bool __gnu_cxx::operator!=<std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.54     10.52     0.07                             FileLoader::openFile(char const*, bool, bool)
  0.54     10.59     0.07                             FileLoader::setProps(void*, unsigned short)
  0.54     10.66     0.07                             ItemType::~ItemType()
  0.54     10.73     0.07                             __cxxabiv1::__vmi_class_type_info::__do_upcast(__cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__upcast_result&) const
  0.54     10.80     0.07                             std::string::find_first_of(std::string const&, unsigned int) const
